GroupA,GroupB,Distance,Group
1041,1627,7.0710678118654755,2016
1041,1642,7.0710678118654755,2016
1041,2155,7.0710678118654755,2016
1041,2222,7.0710678118654755,2016
1041,3113,7.0710678118654755,2016
1041,5107,7.0710678118654755,2016
1041,6353,7.0710678118654755,2016
1041,7472,7.0710678118654755,2016
1041,7610,7.0710678118654755,2016
1041,7785,7.0710678118654755,2016
1041,7929,7.0710678118654755,2016
1041,7985,7.0710678118654755,2016
1041,8387,7.0710678118654755,2016
1041,8439,7.0710678118654755,2016
1041,8534,7.0710678118654755,2016
1041,8631,7.0710678118654755,2016
1041,8733,7.0710678118654755,2016
1041,8844,7.0710678118654755,2016
1041,8853,7.0710678118654755,2016
1041,8883,7.0710678118654755,2016
1041,8885,7.0710678118654755,2016
1041,9124,7.0710678118654755,2016
1041,9152,7.0710678118654755,2016
1041,9359,7.0710678118654755,2016
1041,9453,7.0710678118654755,2016
1041,9489,7.0710678118654755,2016
1041,9609,7.0710678118654755,2016
1041,9691,7.0710678118654755,2016
1041,9747,7.0710678118654755,2016
1041,9749,7.0710678118654755,2016
1026,1652,7.0710678118654755,2017
1026,5824,7.0710678118654755,2017
1027,3631,7.0710678118654755,2017
1027,4437,7.0710678118654755,2017
1027,6745,7.0710678118654755,2017
1028,3997,7.0710678118654755,2017
1037,1154,7.0710678118654755,2017
1037,5047,7.0710678118654755,2017
1037,6577,7.0710678118654755,2017
1037,8469,7.0710678118654755,2017
1037,8736,7.0710678118654755,2017
1037,8856,7.0710678118654755,2017
1037,9026,7.0710678118654755,2017
1037,9458,7.0710678118654755,2017
1037,9464,7.0710678118654755,2017
1037,9492,7.0710678118654755,2017
1037,9537,7.0710678118654755,2017
1037,9656,7.0710678118654755,2017
1037,9871,7.0710678118654755,2017
1037,9949,7.0710678118654755,2017
1037,9998,7.0710678118654755,2017
1041,1042,7.0710678118654755,2017
1041,1117,7.0710678118654755,2017
1041,1322,7.0710678118654755,2017
1041,1329,7.0710678118654755,2017
1041,1332,7.0710678118654755,2017
1041,2212,7.0710678118654755,2017
1041,2885,7.0710678118654755,2017
1041,3115,7.0710678118654755,2017
1041,3138,7.0710678118654755,2017
1041,3198,7.0710678118654755,2017
1041,3606,7.0710678118654755,2017
1041,4482,7.0710678118654755,2017
1041,4766,7.0710678118654755,2017
1041,4878,7.0710678118654755,2017
1041,5355,7.0710678118654755,2017
1041,6199,7.0710678118654755,2017
1041,7928,7.0710678118654755,2017
1041,8045,7.0710678118654755,2017
1041,8221,7.0710678118654755,2017
1041,8291,7.0710678118654755,2017
1041,8362,7.0710678118654755,2017
1041,8387,7.0710678118654755,2017
1041,8524,7.0710678118654755,2017
1041,8612,7.0710678118654755,2017
1041,8766,7.0710678118654755,2017
1041,8772,7.0710678118654755,2017
1041,8871,7.0710678118654755,2017
1041,8882,7.0710678118654755,2017
1041,8883,7.0710678118654755,2017
1026,1652,7.0710678118654755,2018
1026,4387,7.0710678118654755,2018
1026,9824,7.0710678118654755,2018
1027,4117,7.0710678118654755,2018
1027,4423,7.0710678118654755,2018
1027,5435,7.0710678118654755,2018
1027,8523,7.0710678118654755,2018
1028,1184,7.0710678118654755,2018
1028,7797,7.0710678118654755,2018
1028,9295,7.0710678118654755,2018
1037,1786,7.0710678118654755,2018
1037,2323,7.0710678118654755,2018
1037,3542,7.0710678118654755,2018
1037,4062,7.0710678118654755,2018
1037,5047,7.0710678118654755,2018
1037,5114,7.0710678118654755,2018
1037,5354,7.0710678118654755,2018
1037,7428,7.0710678118654755,2018
1037,8438,7.0710678118654755,2018
1037,8572,7.0710678118654755,2018
1037,8746,7.0710678118654755,2018
1037,9416,7.0710678118654755,2018
1037,9458,7.0710678118654755,2018
1037,9871,7.0710678118654755,2018
1037,9992,7.0710678118654755,2018
1041,1042,7.0710678118654755,2018
1041,1332,7.0710678118654755,2018
1041,1627,7.0710678118654755,2018
1041,1692,7.0710678118654755,2018
1041,2212,7.0710678118654755,2018
1041,2222,7.0710678118654755,2018
1041,3115,7.0710678118654755,2018
1041,3198,7.0710678118654755,2018
1041,3528,7.0710678118654755,2018
1041,3989,7.0710678118654755,2018
1041,4482,7.0710678118654755,2018
1041,4878,7.0710678118654755,2018
1041,5318,7.0710678118654755,2018
1041,6167,7.0710678118654755,2018
1041,6199,7.0710678118654755,2018
1041,7426,7.0710678118654755,2018
1041,7821,7.0710678118654755,2018
1041,7928,7.0710678118654755,2018
1041,8045,7.0710678118654755,2018
1041,8221,7.0710678118654755,2018
1041,8319,7.0710678118654755,2018
1041,8489,7.0710678118654755,2018
1041,8524,7.0710678118654755,2018
1041,8552,7.0710678118654755,2018
1041,8612,7.0710678118654755,2018
